Partido;Aveiro;Beja;Braga;Bragança;Castelo Branco;Coimbra;Évora;Faro;Guarda;Leiria;Lisboa;Portalegre;Porto;Santarém;Setúbal;Viana do Castelo;Vila Real;Viseu;Açores;Madeira;Europa;Fora da Europa
Brancos;7030;1172;9590;892;1530;4797;1252;3401;1163;5094;15712;925;14407;3868;6253;2682;1494;3302;2621;794;1381;487
Nulos;4528;935;5162;966;1447;2558;791;2650;1290;3507;13568;614;10964;2815;4945;1534;1527;2595;1056;2703;94261;31980
ADN;5754;859;9967;1576;1492;2426;838;4924;2181;4555;19087;631;19585;3509;7668;2263;2959;6617;827;2348;953;1115
BE;17383;3393;21403;1403;4450;12371;3816;13555;2299;11748;65365;1894;51917;11207;30165;4926;2865;5846;3622;4404;6438;1844
CH;73122;16595;93859;13220;21141;37428;17850;64081;15837;53820;224642;14810;170936;58588;102120;26639;20038;41165;16749;26304;42975;17862
E;344;95;515;109;100;177;81;330;184;340;1001;55;738;366;560;147;117;164;64;239;182;122
IL;21671;1708;33935;1241;2961;9592;2228;10736;1910;15498;86963;1155;64065;9497;26952;5106;2380;5950;2882;5827;5719;1901
JPP;-;-;590;-;-;185;-;623;-;-;847;-;1152;-;430;-;-;-;213;14344;560;201
L;9519;1369;12928;727;2172;6890;1774;6492;1153;7212;72259;873;37321;6190;21553;2815;1592;3567;1817;1864;4091;697
MAS;-;-;-;-;-;-;-;-;-;-;c.r.;-;-;-;-;-;-;-;-;-;-;-
MPT.A;205;c.r.;675;53;-;162;41;c.r.;80;305;1151;31;-;295;438;204;-;180;-;228;120;97
NC;-;-;535;-;-;-;-;-;-;-;-;-;790;-;-;-;-;-;-;305;510;259
ND;1075;106;2616;328;316;578;160;782;292;739;2370;121;1786;464;1239;706;278;544;-;-;502;1454
PAN;7302;943;7936;598;1427;3839;1001;6092;822;4655;32825;506;23421;3930;12865;2057;1062;2555;1659;3127;5175;2328
PCP;5829;11570;10130;774;2373;6819;9771;7488;1331;6625;49267;3718;26356;10346;38848;3106;1600;2905;1161;2429;2363;742
PCTP/MRPP;1207;624;1899;-;437;-;-;-;-;-;4463;303;3446;-;2364;-;-;-;-;-;748;-
PSD;148861;12890;184493;29069;30812;74040;20051;52681;29013;96231;356973;14134;339142;68519;86320;49616;46046;76938;42352;52989;33351;22470
PPM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;451;-;-
PS;117369;24408;157123;21539;37067;79120;29310;59856;27094;61561;365937;20669;338110;69948;157200;40237;34660;58088;31016;29725;38063;14343
PTP;-;-;-;-;-;-;-;-;-;-;1323;-;-;-;393;-;-;-;-;719;-;-
R.I.R.;1924;180;2230;169;367;731;273;1073;289;1136;2846;176;9163;951;1323;624;319;832;123;725;452;186
VP;611;147;772;-;168;427;150;587;96;553;2962;53;1646;568;965;255;121;342;115;283;761;272
